Unnamed: 1,name,birth_year,death_year
correspondedWith,"McCrary, George Washington",1835,1890
associatedWith,"McKelway, St. Clair",1845,1915
associatedWith,"Mead, Larkin G. (Larkin Goldsmith)",1835,1910
associatedWith,"Medill, S. J.",,
associatedWith,"Meissner, George N",1872,1960
associatedWith,"Mekeel, Joyce.",,
associatedWith,"Mendleson, Alan Norman",,
associatedWith,"Mendleson, Alan Norman,",,
associatedWith,"Merrick, George Byron.",,
associatedWith,"Merrill, Bradford.",,
associatedWith,"Miller, Joaquin",1837,1913
associatedWith,"Miller, Roger",1936,1992
associatedWith,"Mills, Abraham Gilbert",1844,1929
associatedWith,"Mills, Abraham Gilbert",1844,1929
associatedWith,"Milton, John",1608,1674
associatedWith,"Moffett, Pamela Ann",1827,1904
associatedWith,"Moffett, Samuel E. (Samuel Erasmus)",1860,1908
associatedWith,"Monahan, Michael",1865,1933
associatedWith,"Montagu, Percy,",,
associatedWith,"Mora, F. Luis (Francis Luis)",1874,1940
associatedWith,"Morgan, J. P. (John Pierpont)",1867,1943
associatedWith,"Morgan, J. Pierpont (John Pierpont)",1837,1913
associatedWith,"Morland, Captain, fl. 1872,",,
associatedWith,"Morley, Christopher",1890,1957
associatedWith,"Morris, Mary Pamelia Felt",1848,1924
associatedWith,"Morse, Milton H., 1845-",,
associatedWith,"Moser, Barry.",,
associatedWith,"Moulton, Louise Chandler",1835,1908
associatedWith,"Mulvey, Daniel Terrance.",,
associatedWith,"Muybridge, Eadweard",1830,1904
associatedWith,"Nast, Thomas",1840,1902
associatedWith,"Nathan, Alfred,",,
associatedWith,"Norton, Charles Eliot",1827,1908
associatedWith,"Nye, Bill",1850,1896
associatedWith,"Nye, James Warren",1815,1876
associatedWith,"Ogden, Augusta M. D.",,
associatedWith,"Oliver, Harold, 1942-",,
correspondedWith,"Onderdonk, William Holmes,",,
associatedWith,"Ordway, Edward Warren, 1864-",,
associatedWith,"Osgood, James R.",,
associatedWith,"Osgood, James R. (James Ripley)",1836,1892
associatedWith,"Owens, William A., 1905-",,
associatedWith,"Page, Thomas Nelson",1853,1922
associatedWith,"Paine, Albert Bigelow",1861,1937
associatedWith,"Parker, Edwin Pond",1836,1920
associatedWith,"Parker, Edwin Pond",1836,1920
associatedWith,"Parsons, Coleman O., 1905-",,
associatedWith,"Parsons, Frank",1854,1908
associatedWith,"Pattee, Fred Lewis",1863,1950
associatedWith,"Pearmain, William Robert",1888,1912
associatedWith,"Perkins, Enid Eder",1896,1973
associatedWith,"Perkins, George C. (George Clement)",1839,1923
associatedWith,"Perry, Bliss",1860,1954
associatedWith,"Perry, Bliss",1860,1954
associatedWith,"Perske, Martha",,
associatedWith,"Phelps, William Lyon",1865,1943
correspondedWith,"Phelps, William Walter",1839,1894
associatedWith,"Phillips, Hester,",,
associatedWith,"Plaut, Edward,",,
associatedWith,"Polk, Asa D. (Asa Davis)",1850,1940
associatedWith,"Pond, James B. (James Burton)",1838,1903
associatedWith,"Pond, Ozias W",,
associatedWith,"Pond, Ozias W.",,
associatedWith,"Porter, Horace",1837,1921
associatedWith,"Powers, Levi Moore.",,
associatedWith,"Powys, John Cowper",1872,1963
associatedWith,"Putnam, George Haven",1844,1930
associatedWith,"Quick, Dorothy",1900,1962
associatedWith,"Quintard, Edward",1867,1936
associatedWith,"Raleigh, Walter Alexander, Sir",1861,1922
associatedWith,"Ramey, Beatrix Gross,",,
associatedWith,"Ray, Gordon Norton, 1915-",,
associatedWith,"Raymond, John T",1836,1887
associatedWith,"Reade, Charles",1814,1884
associatedWith,"Redpath, James",1833,1891
associatedWith,"Redpath, James",1833,1891
associatedWith,"Reid, Robert",1862,1929
associatedWith,"Reid, Whitelaw",1837,1912
associatedWith,"Remington, Frederic",1861,1909
associatedWith,"Richards, P., fl. 1914.",,
associatedWith,"Richardson, Abby Sage",1837,1900
associatedWith,"Rideing, William H. (William Henry)",1853,1918
associatedWith,"Riley, James Whitcomb",1849,1916
associatedWith,"Rivington, Tom.",,
associatedWith,Robert Morton Hughes,,
associatedWith,"Robinson, Mary Paine Fairbanks, 1856-,",,
associatedWith,"Roche, James Jeffrey",1847,1908
associatedWith,"Rodgers, Richard",1902,1979
associatedWith,"Rodman, John Stuart, Mrs.,",,
associatedWith,"Rogers, Henry Huddleston",1879,1935
associatedWith,"Rogers, Henry Huttleston",1840,1909
associatedWith,"Rogers, Henry Huttleston",1840,1909
associatedWith,"Rogers, Henry Munroe",1839,1937
associatedWith,"Rogers, Henry Munroe",1839,1937
associatedWith,"Rogers, John Carr, d. 1979.",,
associatedWith,"Rogers, Mary Benjamin.",,
associatedWith,"Rogers, W. A. (William Allen)",1854,1931
associatedWith,"Rohr, Lorenz, fl. 1884,",,
associatedWith,"Rollins, Clinton",1844,1933
associatedWith,"Rolph, John G., Mrs,",,
associatedWith,"Roosevelt, Theodore",1858,1919
associatedWith,"Roosevelt, Theodore",1858,1919
associatedWith,"Rudin, Stephen,",,
associatedWith,"Ruebush, Joseph K",1878,1963
associatedWith,"Sabath, Bernard.",,
associatedWith,"Sage, Henry W. (Henry Williams)",1814,1897
associatedWith,"Sauguet, Henri",1901,1989
associatedWith,"Schaffner, Joseph Halle",1897,1972
associatedWith,"Schlitz, Don.",,
associatedWith,"Scotson-Clark, G. F. (George Frederick)",1872,1927
associatedWith,"Scudder, Horace Elisha",1838,1902
associatedWith,"Seaver, Romaine W",,
associatedWith,"Seaver, Romaine W.",,
associatedWith,"Seaver, William A.",,
associatedWith,"Seitz, Don C. (Don Carlos)",1862,1935
associatedWith,"Sellers, Isaiah, Capt., ca",1802,1864
associatedWith,"Sembrich, Marcella",1858,1935
associatedWith,"Severance, Emily Allen",1840,1921
associatedWith,"Shakespeare, William",1564,1616
associatedWith,"Shaw, Alice",,
associatedWith,"Shaw, Bernard",1856,1950
associatedWith,"Shepard, Frederick Job",1850,1934
associatedWith,"Sherman, P. Tecumseh (Philemon Tecumseh)",1867,1941
associatedWith,"Sherman, Robert B.",,
associatedWith,"Sherman, Thomas Ewing",1856,1933
associatedWith,"Shinn, Milicent Washburn",1858,1940
associatedWith,"Shinn, Q. H. (Quillen Hamilton)",1845,1907
associatedWith,"Shirley, Betsy Beinecke.",,
associatedWith,"Shumate, Albert,",,
associatedWith,"Simpleton, H.",,
associatedWith,Sir Arthur Sullivan,,
associatedWith,"Smith, Grant H. (Grant Horace)",1865,1944
associatedWith,"Smith, Henry Nash",,
associatedWith,"Smith, Henry Nash",1906,1986
associatedWith,"Smith, Joseph Lindon",1863,1950
associatedWith,"Spalding, Percy",,
associatedWith,"Spalding, Percy.",,
associatedWith,"Spear, S. Lewis B., b. 1834.",,
associatedWith,"Spofford, Ainsworth Rand",1825,1908
associatedWith,"Spring, Rebecca.",,
associatedWith,"Stedman, Edmund Clarence",1833,1908
associatedWith,"Stevenson, Robert Louis",1850,1894
associatedWith,"Stoddard, Charles Warren",1843,1909
associatedWith,"Stoker, Bram",1847,1912
associatedWith,"Stone, Melville Elijah",1848,1929
associatedWith,"Stuart, Flora Cooke.",,
associatedWith,"Sturgis, Dorothy.",,
associatedWith,"Styron, William",,
associatedWith,"Sullivan, Arthur, Sir",1842,1900
associatedWith,"Sutro, Adolph",1830,1898
associatedWith,"Sutro, Adolph",1830,1898
associatedWith,"Taverner, Margaret B.",,
associatedWith,"Taylor, Robert H.,",,
associatedWith,"Teller, Charlotte, b. 1876",,
associatedWith,"Teller, Charlotte.",,
associatedWith,"Terhune, Albert Payson",1872,1942
associatedWith,"Terry, Seth Sprague",1862,1932
associatedWith,"Tesla, Nikola",1856,1943
associatedWith,"Thayer, Abbott Handerson",1849,1921
associatedWith,"Thayer, Emeline Beach",1850,1924
associatedWith,"Thomas, Charles W., 1852-",,
associatedWith,"Thompson, Samuel Chalmers, b. 1848.",,
associatedWith,"Thulstrup, Thure de",1848,1930
associatedWith,"Ticknor, Benjamin Holt",1842,1914
associatedWith,"Tietjens, Eunice",1884,1944
associatedWith,"Tisdall, Charles E., 1822?-1905.",,
correspondedWith,"Toole, John Lawrence",1830,1906
associatedWith,"Townsend, Belton O'Neall.",,
associatedWith,"Trilling, Louis Robert",1899,1969
associatedWith,"Trowbridge, J. T. (John Townsend)",1827,1916
associatedWith,"Trowbridge, J. T. (John Townsend)",1827,1916
associatedWith,"Trumbull, J. Hammond (James Hammond)",1821,1897
associatedWith,"Twain, Mark",1835,1910
associatedWith,"Twain, Mark",1835,1910
associatedWith,"Twain, Mark",1838,1910
associatedWith,"Twichell, Joseph Hopkins",1838,1918
associatedWith,"Underhill, Charles M.",,
associatedWith,"Underhill, Irving S",1866,1937
associatedWith,"Van der Weyde, William M",1870,1929
associatedWith,"Van Dyke, John Charles",1856,1932
associatedWith,"Vaughan, George.",,
